record_ID,well_ID,pump_fixed,pump_working,activity_date,village_name,prefecture,Latitude,Longitude,pump_type,sous_prefecture,payment,service_visit_type
11734,R578,oui,oui,07/01/2015,Bogbado,ombelampoko,5.263242,17.63412,hpv_60,bossembele,16000,
15436,R578,oui,oui,03/23/2016,Bogbado,ombelampoko,5.263214,17.634,hpv_60,bossembele,8000,
4221,R590,oui,oui,03/23/2014,Bowesse 1 Ndjoh,ombelampoko,5.702247,17.60162,hpv_60,bossembele,0,
7268,R590,oui,oui,10/01/2014,Bowesse 1 Ndjoh,ombelampoko,5.702235,17.60166,hpv_60,bossembele,0,
11641,R590,oui,oui,06/26/2015,Bowesse 1 Ndjoh,ombelampoko,5.702234,17.60165,hpv_60,bossembele,0,
15499,R590,oui,oui,03/25/2016,Bowesse 1 Ndjoh,ombelampoko,5.702275,17.6016,hpv_60,bossembele,0,
5222,R614,oui,oui,04/26/2014,Ndara 2,ombelampoko,4.974348,18.68994,hpv_60,damara,0,
7322,R614,oui,oui,11/10/2014,Ndara 2,ombelampoko,4.974222,18.68989,hpv_60,damara,0,
12817,R614,oui,oui,08/26/2015,Ndara 2,ombelampoko,4.974279,18.68996,hpv_60,damara,0,
7346,R617,oui,oui,11/10/2014,Benima A,ombelampoko,5.029179,18.6616,hpv_60,damara,0,
12820,R617,oui,oui,08/26/2015,Benima A,ombelampoko,5.029212,18.66163,hpv_60,damara,0,
5270,R620,oui,oui,04/29/2014,Leya B,ombelampoko,4.870405,18.67356,hpv_60,damara,0,
7355,R620,oui,oui,11/11/2014,Leya B Sud,ombelampoko,4.870363,18.67358,hpv_60,damara,0,
12832,R620,oui,oui,08/27/2015,Leya B Sud,ombelampoko,4.870488,18.67362,hpv_60,damara,0,
12709,R623,oui,oui,08/20/2015,MANGAPOU I,ombelampoko,4.37294,18.62411,india_mark_2,bimbo,0,
5267,R635,oui,oui,04/29/2014,Leya A,ombelampoko,4.8785,18.67321,hpv_60,damara,0,
7352,R635,oui,oui,11/11/2014,Leya A Nord,ombelampoko,4.878475,18.67321,hpv_60,damara,0,
12799,R635,oui,oui,08/25/2015,Leya A Nord,ombelampoko,4.878469,18.67316,hpv_60,damara,0,
7331,R638,oui,oui,11/10/2014,Damara Arabe 1,ombelampoko,4.956165,18.69744,hpv_60,damara,0,
5243,R641,oui,oui,04/26/2014,Nzere,ombelampoko,4.940643,18.69285,hpv_60,damara,0,
7340,R641,oui,oui,11/11/2014,Nzere,ombelampoko,4.940575,18.69291,hpv_60,damara,0,
4475,R644,oui,oui,04/03/2014,GBOKILA 2 B,ombelampoko,4.272186,18.41157,hpv_60,bimbo,0,
12667,R644,oui,oui,08/18/2015,GBOKILA 2 Sud ouest,ombelampoko,4.272227,18.41158,hpv_60,bimbo,0,
15180,R644,oui,oui,02/11/2016,GBOKILA 2 Sud ouest,ombelampoko,4.272221,18.4116,hpv_60,bimbo,0,
16186,R644,oui,oui,04/25/2016,GBOKILA 2 Sud ouest,ombelampoko,4.272256,18.41163,hpv_60,bimbo,0,
7781,R647,oui,oui,12/02/2014,Yamboro II,ombelampoko,4.310371,18.38489,hpv_60,bimbo,0,
12616,R647,oui,oui,08/15/2015,Yamboro II,ombelampoko,4.310368,18.38493,hpv_60,bimbo,0,
15153,R647,oui,oui,02/08/2016,Yamboro II,ombelampoko,4.310383,18.38496,hpv_60,bimbo,12000,
740,R650,oui,oui,04/17/2012,BIMON,ombelampoko,4.318963,18.30046,hpv_60,bimbo,0,
4448,R650,oui,oui,04/02/2014,BiMON 3,ombelampoko,4.318959,18.30046,hpv_60,bimbo,0,
7793,R650,oui,oui,12/02/2014,BiMON 3,ombelampoko,4.318945,18.3005,hpv_60,bimbo,0,
12583,R650,oui,oui,08/12/2015,BiMON 3,ombelampoko,4.318981,18.30051,hpv_60,bimbo,0,
15126,R650,oui,oui,02/08/2016,BiMON 3,ombelampoko,4.318932,18.30046,hpv_60,bimbo,0,
5291,R656,oui,oui,04/29/2014,Gbandele B,ombelampoko,4.808468,18.64408,hpv_60,damara,0,
7373,R656,oui,oui,11/11/2014,Gbandele B,ombelampoko,4.808458,18.64407,hpv_60,damara,0,
12844,R656,oui,oui,08/27/2015,Gbandele B,ombelampoko,4.808465,18.64412,hpv_60,damara,0,
4433,R662,oui,oui,04/07/2014,Sambrola A,ombelampoko,4.327344,18.51838,india_mark_2,bimbo,0,
4430,R665,oui,oui,04/07/2014,Sambrola B,ombelampoko,4.327391,18.5167,india_mark_2,bimbo,0,
5276,R668,oui,oui,04/29/2014,Pata 2,ombelampoko,4.845521,18.65895,hpv_60,damara,0,
7361,R668,oui,oui,11/11/2014,Pata 2,ombelampoko,4.845484,18.65893,hpv_60,damara,0,
5261,R671,oui,oui,04/29/2014,Imohoro Sadec,ombelampoko,4.736514,18.61944,hpv_60,damara,0,
7388,R671,oui,oui,11/11/2014,Imohoro Sadec,ombelampoko,4.777212,18.6279,hpv_60,damara,0,
5279,R674,oui,oui,04/29/2014,Pata 3,ombelampoko,4.839125,18.65673,hpv_60,damara,0,
7367,R674,oui,oui,11/11/2014,Pata 3,ombelampoko,4.839106,18.65671,hpv_60,damara,0,
12838,R674,oui,oui,08/27/2015,Pata 3,ombelampoko,4.839125,18.65673,hpv_60,damara,0,
12580,R680,oui,oui,08/12/2015,CUISINIER,ombelampoko,4.309574,18.28899,hpv_60,bimbo,0,
4350,R683,oui,oui,03/28/2014,Boali Bodanga,ombelampoko,4.86918,18.00631,hpv_60,boali,0,
6995,R683,oui,oui,09/27/2014,Boali Bodanga,ombelampoko,4.869117,18.00625,hpv_60,boali,0,
8708,R683,oui,oui,01/19/2015,Boali Bodanga,ombelampoko,4.868951,18.0064,hpv_60,boali,0,
15060,R683,oui,oui,02/04/2016,Boali Bodanga,ombelampoko,4.869146,18.00633,hpv_60,boali,0,
12664,R686,oui,oui,08/18/2015,GBOKILA 2 Sud est,ombelampoko,4.272496,18.41504,hpv_60,bimbo,0,
11602,R689,oui,oui,06/24/2015,Bakere B,ombelampoko,5.133741,17.77302,hpv_60,bossembele,0,
15535,R689,oui,oui,03/27/2016,BAKERE 2,ombelampoko,5.134042,17.7732,hpv_60,bossembele,0,
4278,R695,oui,oui,03/25/2014,Gbakere. A,ombelampoko,5.13215,17.77433,hpv_60,bossembele,0,
8756,R695,oui,oui,01/21/2015,Gbakere A,ombelampoko,5.13213,17.7744,hpv_60,boali,0,
11605,R695,oui,oui,06/24/2015,Bogoin 2 Nord,ombelampoko,5.132091,17.77443,hpv_60,bossembele,9000,
15538,R695,oui,oui,03/27/2016,GBAKERE A,ombelampoko,5.13213,17.77464,hpv_60,bossembele,0,
4266,R698,oui,oui,03/24/2014,Bogbaloko B,ombelampoko,5.236568,17.68826,hpv_60,bossembele,0,
8765,R698,oui,oui,01/21/2015,Bogbaloko B ,ombelampoko,5.236553,17.6883,hpv_60,boali,0,
11626,R698,oui,oui,06/25/2015,BOGBALOKO b,ombelampoko,5.236572,17.68824,hpv_60,bossembele,0,
15523,R698,oui,oui,03/26/2016,BOGBALOKO B,ombelampoko,5.236537,17.68825,hpv_60,bossembele,0,
4197,R719,oui,oui,03/22/2014,Boguissi .B,ombelampoko,5.235499,17.40939,india_mark_2,yaloke,0,
7271,R719,oui,oui,10/02/2014,Boguissi B,ombelampoko,5.235514,17.40939,hpv_60,bossembele,0,
11770,R719,oui,oui,07/02/2015,Boguissi B,ombelampoko,5.235557,17.40943,hpv_60,bossembele,0,
15415,R719,oui,oui,03/22/2016,Boguissi B,ombelampoko,5.235594,17.40942,hpv_60,bossembele,0,
4194,R722,oui,oui,03/22/2014,Bogali,ombelampoko,5.232528,17.38451,hpv_60,yaloke,0,
11773,R722,oui,oui,07/02/2015,Bogali - Bossembele,ombelampoko,5.232384,17.38448,hpv_60,bossembele,10000,
15412,R722,oui,oui,03/22/2016,Bogali - Bossembele,ombelampoko,5.232444,17.38446,hpv_60,bossembele,0,
4463,R730,oui,oui,04/02/2014,NDANGALA III A,ombelampoko,4.313313,18.34674,hpv_60,bimbo,0,
7775,R730,oui,oui,11/28/2014,NDANGALA 3 VILLAGE CENTRE,ombelampoko,4.313299,18.34669,hpv_60,bimbo,0,
12610,R730,oui,oui,08/14/2015,NDANGALA III A,ombelampoko,4.313273,18.34668,hpv_60,bimbo,0,
15144,R730,oui,oui,02/08/2016,NDANGALA 3 VILLAGE CENTRE,ombelampoko,4.313463,18.346,hpv_60,bimbo,12000,
12631,R742,oui,oui,08/15/2015,Carmel,ombelampoko,4.342771,18.51367,hpv_60,bimbo,0,
12634,R745,oui,oui,08/15/2015,Site Carmel,ombelampoko,4.341371,18.50479,hpv_60,bimbo,0,
7343,R797,oui,oui,11/10/2014,Mbourouba,ombelampoko,5.102981,18.56327,hpv_60,damara,0,
