record_ID,Latitude,Longitude,service_visit_type,well_ID,village_name,prefecture,sous_prefecture,wells::mission_id,team_number,activity_date,population_estimate,pop_use,pump_type,pump_working,pump_fixed,payment
44101,4.313913,17.470035,EEP traditionnel,W064,BODA QTIER SARA-PORO,Lobaye,Boda,2,EEP 4,1/13/2020,350,120,India MARK 2,Oui,Oui,
44524,6.371677,16.338825,EEP traditionnel,A1062,Konkere 2,Ouham Pende,Bozoum,2,EEP 1,1/13/2020,310,310,India MARK 2,"Oui, mais pas correctement","Oui, mais pas correctement",
44104,4.314304,17.476129,EEP traditionnel,W063,BODA QTIER DEUX PONT,Lobaye,Boda,2,EEP 4,1/13/2020,320,80,India MARK 2,Oui,Oui,
44293,5.276271,18.955679,EEP traditionnel,Z116,Liby Biango,Ombella M'Poko,Damara,OM_Mission_2,EEP 2,1/13/2020,586,86,Vergnet HPV 60,Oui,Oui,
44296,5.253082,18.953328,EEP traditionnel,Z115,Liby Hongo,Ombella M'Poko,Damara,OM_Mission_2,EEP 2,1/13/2020,1356,142,Vergnet HPV 60,Oui,Oui,
44299,5.081312,18.816932,EEP traditionnel,A923,Vangue 2,Ombella M'Poko,Damara,OM_Mission_2,EEP 2,1/13/2020,2015,112,Vergnet HPV 60,Oui,Oui,
44527,6.76323,16.459629,EEP traditionnel,R298,NGOUBOU,Ouham Pende,Paoua,2,EEP 1,1/13/2020,896,896,India MARK 2,Non,Oui,
44302,4.963562,18.696016,EEP traditionnel,A2625,Damara Gendarmerie,Ombella M'Poko,Damara,OM_Mission_2,EEP 2,1/13/2020,825,74,Vergnet HPV 60,Oui,Oui,
44530,6.759277,16.497437,EEP traditionnel,R299,TATIA2,Ouham Pende,Paoua,2,EEP 1,1/13/2020,310,630,India MARK 2,Non,Oui,
44533,6.681957,16.365689,EEP traditionnel,X004,Kosso,Ouham Pende,PAOUA,1,EEP 1,1/13/2020,1750,1750,India MARK 2,Oui,Oui,
44536,6.321973,16.372409,EEP traditionnel,A399,Ladoumie Boani,Ouham Pende,Bozoum,1,EEP 1,1/14/2020,700,990,Vergnet HPV 60,Oui,Oui,
44305,5.241603,18.950054,Visite de suivi,Z114,Liby Hongo,Ombella M'Poko,Damara,OM_Mission_2,EEP 2,1/14/2020,696,75,Vergnet HPV 60,Non,Non,
44539,6.335427,16.353491,Visite de suivi,F1833,Jardin d Emfla Boeur,Ouham Pende,Bozoum,2,EEP 1,1/14/2020,350,0,Vergnet HPV 60,Non,Désactiver cette point d'eau,
44308,5.234876,18.9387,EEP traditionnel,Z113,Liby Bobacada,Ombella M'Poko,Damara,OM_Mission_2,EEP 2,1/14/2020,743,73,Vergnet HPV 60,Oui,Oui,
44542,6.415601,16.348866,EEP traditionnel,A404,Kokol,Ouham Pende,Bozoum,2,EEP 1,1/14/2020,450,710,India MARK 2,"Oui, mais pas correctement","Oui, mais pas correctement",
44056,4.31328,18.346735,Visite Animateur,A1694,Ndagala 1,Ombella M'Poko,Bimbo,Mission1,Bureau,1/14/2020,3780,1700,Vergnet HPV 60,Oui,Oui,
44113,4.021663,17.595531,EEP traditionnel,A1042,Wende,Lobaye,Mbaiki,2,EEP 4,1/14/2020,250,45,India MARK 2,Oui,Oui,
44116,3.996131,17.596816,EEP traditionnel,A1047,Bobalanga,Lobaye,Mbaiki,2,EEP 4,1/14/2020,320,100,India MARK 2,Oui,Oui,
44119,3.98821,17.59626,EEP traditionnel,A1040,Bokoka,Lobaye,Mbaiki,2,EEP 4,1/14/2020,280,100,India MARK 2,Oui,Oui,
44575,4.230147,15.637539,EEP traditionnel,A307,Goni,Mambere Kadei,Berberati,Moto_Berberati_Mission_2,EEP Moto 1,1/14/2020,120,80,Vergnet HPV 60,"Oui, mais pas correctement","Oui, mais pas correctement",
44122,3.981336,17.594414,EEP traditionnel,A1039,Ganza,Lobaye,Mbaiki,2,EEP 4,1/14/2020,950,120,India MARK 2,Oui,Oui,
44578,4.249221,15.604019,EEP traditionnel,A301,Fada,Mambere Kadei,Berberati,Moto_Berberati_Mission_2,EEP Moto 1,1/14/2020,210,90,Vergnet HPV 60,"Oui, mais pas correctement","Oui, mais pas correctement",
44107,4.011278,17.60632,EEP traditionnel,W070,CENTRE DE SANTE BOLEMBA,Lobaye,Mbaiki,2,EEP 4,1/14/2020,600,1200,India MARK 2,Non,Oui,
